Issue Type,Summary,Epic Name,Epic Link,Priority,Labels,Description
Story,"E1-S6: auth module + POST /api/session/bootstrap: invite-only sign-up, server-side allowlist, app_user upsert",,Foundation & Auth,Highest,slice-1 module-auth p0,Cites: TR NFR-005; Module Boundaries auth; API Contracts section 2. Depends on: E1-S4. Est: 3h.
Story,"E1-S8: artifact-lifecycle.createProject (minimal - project + its 4 blank artifact rows, no generation) + POST/GET /api/projects, GET/PATCH /api/projects/:projectId",,Foundation & Auth,Highest,slice-1 module-artifact-lifecycle p0 test-T33,"Cites: TR FR-001, FR-002, INV-007; Module Boundaries artifact-lifecycle; API Contracts section 3; T33 (brief immutability, via PATCH's project_seed_frozen guard). Depends on: E1-S4, E1-S6. Est: 1.5h."
Story,"E1-S7: CI workflow (GitHub Actions): typecheck, lint, format:check, unit + integration tests on every PR",,Foundation & Auth,Highest,slice-1 p0,Cites: Project Setup section 9; step 11. Depends on: E1-S5. Est: 2h.
Task,"E1-T2: First hosted deployment (Vercel + Supabase, Supavisor transaction pooler); confirm the access gate blocks an unauthenticated visitor",,Foundation & Auth,Highest,slice-1 p0,"Cites: TR section 43; ERD 2.1 rule 3; step 12. Depends on: E1-S6, E1-S7. Est: 2h."
Epic,E2: Lineage Core,Lineage Core,,Highest,slice-2,"The matching/hashing/impact engine, proven against a real LLM before any screen exists to show it. Highest-risk epic in the plan."
Task,E2-T1: Spike A: structured LLM output round trip + no-change regeneration stability,,Lineage Core,Highest,slice-2 module-ai-client p0,Cites: TR 42 (Spike A). Depends on: E1-T2. Est: 3h.
Story,"E2-S1: db module: withProjectLock, withTx",,Lineage Core,Highest,slice-2 module-db p0,Cites: ERD 3.2; Module Boundaries db. Depends on: E1-S4. Est: 1h.
Story,E2-S2: ai-client module: structured generation + ai_generation_run logging,,Lineage Core,Highest,slice-2 module-ai-client p0,"Cites: TR section 33, NFR-004; Module Boundaries ai-client. Depends on: E2-T1. Est: 2h."
Story,"E2-S3: identity.matchAndPersistItems: previousDisplayKey claiming, projection + hash, reuse/new-revision/new-item",,Lineage Core,Highest,slice-2 module-identity p0 test-T21,"Cites: ERD 5.3, 5.4; INV-010, INV-011, INV-012, INV-016; Module Boundaries identity. Depends on: E2-S1. Est: 6h."
Story,E2-S4: identity: content-only fallback matching,,Lineage Core,Highest,slice-2 module-identity p0 test-T31 test-T32,"Cites: ERD 5.3 rule 1b; INV-014; T31, T32. Depends on: E2-S3. Est: 2h."
Story,"E2-S5: dependency-binding: bindUpstreamRefs, checkFreshness",,Lineage Core,Highest,slice-2 module-dependency-binding p0,Cites: ERD 3.3 steps 2-4; INV-006. Depends on: E2-S3. Est: 2h.
Story,E2-S6: artifact-lifecycle.createDraftFromGeneration: full persist transaction incl. stale path,,Lineage Core,Highest,slice-2 module-artifact-lifecycle p0 test-T7 test-T20 test-T43,"Cites: ERD 3.3; TR FR-080; T7, T20, T43. Depends on: E2-S3, E2-S5. Est: 4h."
Story,E2-S7: artifact-lifecycle.createManualRevisionDraft + identity.copyMembership,,Lineage Core,Highest,slice-2 module-artifact-lifecycle module-identity p0 test-T40,Cites: ERD 3.6; TR FR-081; T40 (pre-approval half only - the draft shares every ItemVersion and has no context refs; the post-approval half closes out in E3-T1). Depends on: E2-S6. Est: 2h.
Story,"E2-S8: impact module: getWarnings, getExternalDrift, acknowledge wrapping impact()",,Lineage Core,Highest,slice-2 module-impact p0 test-T1 test-T1b test-T1c test-T2 test-T3 test-T4 test-T15 test-T17 test-T25,"Cites: ERD 6.1-6.4; INV-020..026; T1, T1b, T1c, T2, T3, T4, T15, T17, T25. Depends on: E1-S3. Est: 3h."
Task,"E2-S9: T21 first, then run T1-T5, T15, T31, T32, T43 against real generation (T8 and T40 need approveVersion/materialize, which don't exist yet - their approval-dependent assertions close out in E3-T1 instead)",,Lineage Core,Highest,slice-2 p0 test-T21,"Cites: ERD 14 (slice 2 gate); T21. Depends on: E2-S2, E2-S6, E2-S7, E2-S8. Est: 3h."
Epic,"E3: Approval, Architecture and Generation",Approval & Generation,,Highest,slice-3,"Every artifact type can be generated, revised, edited, and approved (with the gate and override), end to end, headless."
Story,E3-S1: artifact-lifecycle.approveVersion + gate,,Approval & Generation,Highest,slice-3 module-artifact-lifecycle p0 test-T6 test-T10 test-T22 test-T23,"Cites: ERD 3.4, 6.5; TR FR-083; T6, T10, T22, T23. Depends on: E2-S6, E2-S8. Est: 3h."
Story,E3-S2: artifact-lifecycle.approveWithOverride,,Approval & Generation,Highest,slice-3 module-artifact-lifecycle p0 test-T6,Cites: ERD 3.5; TR FR-084; T6 (override half). Depends on: E3-S1. Est: 2h.
Story,"E3-S3: architecture-materialization: createOptions, materialize, stack guard",,Approval & Generation,Highest,slice-3 module-architecture-materialization p0 test-T8 test-T9 test-T30,"Cites: ERD 5.5; TR FR-020..022; T8, T9, T30. Depends on: E3-S1. Est: 4h."
Story,E3-S4: artifact-lifecycle.requestRevision / .rejectVersion,,Approval & Generation,Highest,slice-3 module-artifact-lifecycle p0 test-T5,Cites: ERD 3.1; T5. Depends on: E3-S1. Est: 1h.
Story,E3-S5: identity.rebindDraftItem + artifact-lifecycle.proposeItemEdit/commitItemEdit,,Approval & Generation,Highest,slice-3 module-identity module-artifact-lifecycle p0 test-T24,Cites: ERD 5.3 manual edit; TR FR-082; T24. Depends on: E2-S3. Est: 3h.
Story,"E3-S6: requirements module: prompt, schema, quality gate",,Approval & Generation,Highest,slice-3 module-requirements module-ai-client p0,"Cites: TR FR-010..012. Depends on: E2-S2, E2-S6. Est: 3h."
Story,"E3-S7: architecture module: prompt, schema (exactly 2 options), option selection",,Approval & Generation,Highest,slice-3 module-architecture module-ai-client p0,"Cites: TR FR-020, FR-021, FR-023(P1-off). Depends on: E2-S2, E2-S6, E3-S3. Est: 3h."
Story,"E3-S8: ui-requirements module: prompt, schema",,Approval & Generation,Highest,slice-3 module-ui-requirements module-ai-client p0,"Cites: TR FR-040. Depends on: E2-S2, E2-S6. Est: 2h."
Story,"E3-S9: backlog module: prompt, schema, quality gate, Epic/Story parent resolution",,Approval & Generation,Highest,slice-3 module-backlog module-ai-client p0,"Cites: TR FR-060..063. Depends on: E2-S2, E2-S6. Est: 4h."
Task,E3-S10: API routes: artifact generate/revise/approve/edit/quality-gate (API Contracts section 4-5),,Approval & Generation,Highest,slice-3 module-api p0,Cites: API Contracts sections 4-5. Depends on: E3-S1..E3-S9. Est: 3h.
Task,"E3-S11: API routes: impact + acknowledgements (impact.getWarnings, impact.acknowledge)",,Approval & Generation,Highest,slice-3 module-impact module-api p0,Cites: API Contracts section 6. Depends on: E2-S8. Est: 1h.
Task,"E3-T1: Slice-3 gate: run T6, T7, T8, T9, T10, T22, T23, T24, T30, T40 end to end through the API routes (T8/T40 close out the approval-dependent assertions E2-S9 could not complete)",,Approval & Generation,Highest,slice-3 p0,Cites: ERD 14 (slice 3 gate). Depends on: E3-S10. Est: 2h.
Epic,E4: External Integrations,External Integrations,,Highest,slice-4,"GitHub, Jira, and Stitch all write through one shared protocol, are retry-safe, and never silently duplicate."
Story,E4-S1: external-operations.runOperation: insert-first/lock/decide protocol,,External Integrations,Highest,slice-4 module-external-operations p0 test-T11 test-T18,"Cites: ERD 7.2; TR section 30; T11, T18. Depends on: E2-S1, E2-S8. Est: 4h."
Task,"E4-T1: Spike C - GitHub: create, simulate lost response, reconcile via marker",,External Integrations,Highest,slice-4 module-github p0,Cites: TR 42 (Spike C). Depends on: E4-S1. Est: 2h.
Task,"E4-T2: Spike C - Jira: create, simulate ambiguous response, search-marker reconcile; decides the final marker mechanism",,External Integrations,Highest,slice-4 module-jira p0,"Cites: TR 42 (Spike C), 30.2. Depends on: E4-S1. Est: 2h."
Story,"E4-S2: github module: preview, init (marker + README/ADR/lineage.json), drift check",,External Integrations,Highest,slice-4 module-github p0 test-T11 test-T13 test-T17 test-T18,"Cites: ERD 7.3; TR FR-030..036; T11, T17, T18, T13. Depends on: E4-T1. Est: 4h."
Story,"E4-S3: jira module: preview, export (Epics before Stories, parent by LogicalItem), FR-074 skip/create-new",,External Integrations,Highest,slice-4 module-jira p0 test-T12 test-T26 test-T41,"Cites: ERD 7.4; TR FR-070..074; T12, T26, T41. Depends on: E4-T2. Est: 5h."
Story,"E4-S4: stitch module: preview, generate, manual fallback, Supabase Storage + signed URLs",,External Integrations,Highest,slice-4 module-stitch p0,"Cites: ERD 7.5, 4.16; TR FR-050..054. Depends on: E4-S1. Est: 3h."
Task,E4-S5: Spike B - Stitch: approved prompt -> generation -> persisted output or fallback,,External Integrations,Highest,slice-4 module-stitch p0,Cites: TR 42 (Spike B). Depends on: E4-S4. Est: 2h.
Task,E4-S6: API routes: GitHub/Jira/Stitch preview/init/export/generate + operation polling/retry,,External Integrations,Highest,slice-4 module-api p0,"Cites: API Contracts sections 7-10. Depends on: E4-S2, E4-S3, E4-S4. Est: 3h."
Task,"E4-T3: Slice-4 gate: run T11-T13, T18, T26, T41, T42 end to end through the API routes",,External Integrations,Highest,slice-4 p0,Cites: ERD 14 (slice 4 gate). Depends on: E4-S6. Est: 2h.
Epic,E5: UI and Visualization,UI & Visualization,,Highest,ui,Every API route from Epics 2-4 has a screen. A user can complete the entire workflow by clicking through the UI alone.
Story,E5-S1: Project creation + brief entry,,UI & Visualization,Highest,ui p0 module-api,Cites: API Contracts section 3. Depends on: E1-S8. Est: 2h.
Story,E5-S2: Requirements review/approve screen + quality gate display,,UI & Visualization,Highest,ui p0 module-api,"Cites: API Contracts section 4; TR FR-012, FR-013. Depends on: E3-S10. Est: 3h."
Story,"E5-S3: Architecture review screen: two options side by side, selection, approve",,UI & Visualization,Highest,ui p0 module-api,Cites: API Contracts section 4; TR FR-020..022. Depends on: E3-S10. Est: 3h.
Story,E5-S4: UI Requirements review/approve screen,,UI & Visualization,Highest,ui p0 module-api,Cites: API Contracts section 4; TR FR-041. Depends on: E3-S10. Est: 2h.
Story,E5-S5: Backlog review/approve screen + quality gate display,,UI & Visualization,Highest,ui p0 module-api,"Cites: API Contracts section 4; TR FR-063, FR-064. Depends on: E3-S10. Est: 3h."
Story,E5-S6: Warning panel + direct acknowledgement UI,,UI & Visualization,Highest,ui p0 module-api,"Cites: API Contracts section 6; TR INV-023, INV-024. Depends on: E3-S11. Est: 3h."
Story,"E5-S7: Dependency/version visualization (simple view, same data as warning panel)",,UI & Visualization,Highest,ui p0 module-api,Cites: TR section 27; ERD 6.1. Depends on: E5-S6. Est: 3h.
Story,"E5-S8: Manual item edit UI: preview diff, require confirmation on rebind",,UI & Visualization,Highest,ui p0 module-api,Cites: API Contracts section 5; TR FR-082. Depends on: E3-S5. Est: 2h.
Story,E5-S9: GitHub/Jira/Stitch preview screens with impact shown + confirmation gate,,UI & Visualization,Highest,ui p0 module-api,Cites: API Contracts sections 8-10; TR FR-085. Depends on: E4-S6. Est: 4h.
Story,"E5-S10: Sandboxed Stitch HTML/screenshot preview (separate-origin iframe, no allow-same-origin)",,UI & Visualization,Highest,ui p0 module-api,Cites: TR FR-053; ERD 4.16. Depends on: E4-S6. Est: 2h.
Epic,"E6: Demo, Evaluation and Hardening",Demo & Evaluation,,Highest,eval,"P0 acceptance criteria pass, the BRD evaluation is run, and the capstone write-up exists."
Task,E6-S1: Full demo scenario run-through on the hosted instance,,Demo & Evaluation,Highest,eval p0,Cites: TR section 39. Depends on: E5-S9. Est: 2h.
Task,E6-S2: P0 acceptance criteria checklist (all 29 items),,Demo & Evaluation,Highest,eval p0,Cites: TR section 44. Depends on: E6-S1. Est: 2h.
Task,E6-S3: Security pass: re-run T34 against production Supabase; confirm no credentials/secrets leak (NFR-005),,Demo & Evaluation,Highest,eval p0 test-T34,Cites: TR NFR-005; ERD T34. Depends on: E6-S1. Est: 1h.
Task,E6-S4: Controlled change test via manual revision (exactly one item changed),,Demo & Evaluation,Highest,eval p0,Cites: BRD 10.3; TR FR-081. Depends on: E6-S2. Est: 1h.
Task,"E6-S5: Run 3 sample briefs, manual baseline vs. Throughline",,Demo & Evaluation,Highest,eval p0,"Cites: BRD 10.1, 10.2. Depends on: E6-S4. Est: 6h."
Task,"E6-S6: Evaluation write-up (measures, controlled-change results, limitations per BRD 10.4)",,Demo & Evaluation,Highest,eval p0,Cites: BRD 10. Depends on: E6-S5. Est: 3h.
Task,E6-S7: Bug-fix / hardening buffer,,Demo & Evaluation,Highest,eval p0,Cites: -. Depends on: E6-S2. Est: 4h.
Task,"E6-S8: Final capstone documentation pass (README, architecture summary, known limitations)",,Demo & Evaluation,Highest,eval p0,Cites: ERD section 11; TR sections 37-38. Depends on: E6-S6. Est: 2h.
